date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2021-04-23,132.16,135.12,132.16,134.32,134.32,7.8935695E7,7.8935695E7,2.16,1.634,133.86667,"April 23, 21",0.01634
2021-04-22,133.04,134.15,131.41,131.94,131.94,8.114635E7,8.114635E7,-1.1,-0.827,132.5,"April 22, 21",-0.00827
2021-04-21,132.36,133.75,131.3,133.5,133.5,6.7624221E7,6.7624221E7,1.14,0.861,132.85,"April 21, 21",0.00861
2021-04-20,135.02,135.53,131.81,133.11,133.11,9.5598989E7,9.5598989E7,-1.91,-1.415,133.48333,"April 20, 21",-0.01415
2021-04-19,133.51,135.47,133.34,134.84,134.84,9.4820121E7,9.4820121E7,1.33,0.996,134.55,"April 19, 21",0.00996
2021-04-16,134.3,134.67,133.28,134.16,134.16,8.5446163E7,8.5446163E7,-0.14,-0.104,134.03667,"April 16, 21",-0.00104
2021-04-15,133.82,135.0,133.64,134.5,134.5,8.9752895E7,8.9752895E7,0.68,0.508,134.38,"April 15, 21",0.00508
2021-04-14,134.940002,135.0,131.660004,132.029999,132.029999,8.72228E7,8.72228E7,-2.91,-2.157,132.89667,"April 14, 21",-0.02157
2021-04-13,132.440002,134.660004,131.929993,134.429993,134.429993,9.12665E7,9.12665E7,1.98999,1.503,133.67333,"April 13, 21",0.01503
2021-04-12,132.520004,132.850006,130.630005,131.240005,131.240005,9.142E7,9.142E7,-1.28,-0.966,131.57334,"April 12, 21",-0.00966
2021-04-09,129.800003,133.039993,129.470001,133.0,133.0,1.066867E8,1.066867E8,3.2,2.465,131.83666,"April 09, 21",0.02465
2021-04-08,128.949997,130.389999,128.520004,130.360001,130.360001,8.88446E7,8.88446E7,1.41,1.093,129.75667,"April 08, 21",0.01093
2021-04-07,125.830002,127.919998,125.139999,127.900002,127.900002,8.34667E7,8.34667E7,2.07,1.645,126.98667,"April 07, 21",0.01645
2021-04-06,126.5,127.129997,125.650002,126.209999,126.209999,8.01713E7,8.01713E7,-0.29,-0.229,126.33,"April 06, 21",-0.00229
2021-04-05,123.870003,126.160004,123.07,125.900002,125.900002,8.86512E7,8.86512E7,2.03,1.639,125.04334,"April 05, 21",0.01639
2021-04-01,123.660004,124.18,122.489998,123.0,123.0,7.50891E7,7.50891E7,-0.66,-0.534,123.22333,"April 01, 21",-0.00534
2021-03-31,121.650002,123.519997,121.150002,122.150002,122.150002,1.183238E8,1.183238E8,0.5,0.411,122.27333,"March 31, 21",0.00411
2021-03-30,120.110001,120.400002,118.860001,119.900002,119.900002,8.56719E7,8.56719E7,-0.21,-0.175,119.72,"March 30, 21",-0.00175
2021-03-29,121.650002,122.580002,120.730003,121.389999,121.389999,8.08192E7,8.08192E7,-0.26,-0.214,121.56667,"March 29, 21",-0.00214
2021-03-26,120.349998,121.480003,118.919998,121.209999,121.209999,9.40712E7,9.40712E7,0.86,0.715,120.53667,"March 26, 21",0.00715
2021-03-25,119.540001,121.660004,119.0,120.589996,120.589996,9.88447E7,9.88447E7,1.04999,0.878,120.41667,"March 25, 21",0.00878
2021-03-24,122.82,122.900002,120.07,120.089996,120.089996,8.85305E7,8.85305E7,-2.73,-2.223,121.02,"March 24, 21",-0.02223
2021-03-23,123.330002,124.239998,122.139999,122.540001,122.540001,9.54671E7,9.54671E7,-0.79,-0.641,122.97333,"March 23, 21",-0.00641
2021-03-22,120.330002,123.870003,120.260002,123.389999,123.389999,1.119123E8,1.119123E8,3.06,2.543,122.50667,"March 22, 21",0.02543
2021-03-19,119.900002,121.43,119.68,119.989998,119.989998,1.855495E8,1.855495E8,0.09,0.075,120.36667,"March 19, 21",7.5E-4
2021-03-18,122.879997,123.18,120.32,120.529999,120.529999,1.214698E8,1.214698E8,-2.35,-1.912,121.34333,"March 18, 21",-0.01912
2021-03-17,124.050003,125.860001,122.339996,124.760002,124.760002,1.119326E8,1.119326E8,0.71,0.572,124.32,"March 17, 21",0.00572
2021-03-16,125.699997,127.220001,124.720001,125.57,125.57,1.152279E8,1.152279E8,-0.13,-0.103,125.83667,"March 16, 21",-0.00103
2021-03-15,121.410004,124.0,120.419998,123.989998,123.989998,9.24038E7,9.24038E7,2.57999,2.125,122.80333,"March 15, 21",0.02125
2021-03-12,120.400002,121.169998,119.160004,121.029999,121.029999,8.81051E7,8.81051E7,0.63,0.523,120.45333,"March 12, 21",0.00523
2021-03-11,122.540001,123.209999,121.260002,121.959999,121.959999,1.030265E8,1.030265E8,-0.58,-0.473,122.14333,"March 11, 21",-0.00473
2021-03-10,121.690002,122.169998,119.449997,119.980003,119.980003,1.119433E8,1.119433E8,-1.71,-1.405,120.53333,"March 10, 21",-0.01405
2021-03-09,119.029999,122.059998,118.790001,121.089996,121.089996,1.295258E8,1.295258E8,2.06,1.731,120.64667,"March 09, 21",0.01731
2021-03-08,120.93,121.0,116.209999,116.360001,116.360001,1.543766E8,1.543766E8,-4.57,-3.779,117.85667,"March 08, 21",-0.03779
2021-03-05,120.980003,121.940002,117.57,121.419998,121.419998,1.537666E8,1.537666E8,0.44,0.364,120.31,"March 05, 21",0.00364
2021-03-04,121.75,123.599998,118.620003,120.129997,120.129997,1.78155E8,1.78155E8,-1.62,-1.331,120.78333,"March 04, 21",-0.01331
2021-03-03,124.809998,125.709999,121.839996,122.059998,122.059998,1.129663E8,1.129663E8,-2.75,-2.203,123.20333,"March 03, 21",-0.02203
2021-03-02,128.410004,128.720001,125.010002,125.120003,125.120003,1.022609E8,1.022609E8,-3.29,-2.562,126.28334,"March 02, 21",-0.02562
2021-03-01,123.75,127.93,122.790001,127.790001,127.790001,1.163079E8,1.163079E8,4.04,3.265,126.17,"March 01, 21",0.03265
2021-02-26,122.589996,124.849998,121.199997,121.260002,121.260002,1.6432E8,1.6432E8,-1.32999,-1.085,122.43667,"February 26, 21",-0.01085
2021-02-25,124.68,126.459999,120.540001,120.989998,120.989998,1.481995E8,1.481995E8,-3.69,-2.96,122.66333,"February 25, 21",-0.0296
2021-02-24,124.940002,125.559998,122.230003,125.349998,125.349998,1.110399E8,1.110399E8,0.41,0.328,124.38,"February 24, 21",0.00328
2021-02-23,123.760002,126.709999,118.389999,125.860001,125.860001,1.58273E8,1.58273E8,2.1,1.697,123.65333,"February 23, 21",0.01697
2021-02-22,128.009995,129.720001,125.599998,126.0,126.0,1.039164E8,1.039164E8,-2.01,-1.57,127.10667,"February 22, 21",-0.0157
2021-02-19,130.240005,130.710007,128.800003,129.869995,129.869995,8.76688E7,8.76688E7,-0.37001,-0.284,129.79333,"February 19, 21",-0.00284
2021-02-18,129.199997,130.0,127.410004,129.710007,129.710007,9.68567E7,9.68567E7,0.51001,0.395,129.04,"February 18, 21",0.00395
2021-02-17,131.25,132.220001,129.470001,130.839996,130.839996,9.79185E7,9.79185E7,-0.41,-0.312,130.84333,"February 17, 21",-0.00312
2021-02-16,135.490005,136.009995,132.789993,133.190002,133.190002,8.05763E7,8.05763E7,-2.3,-1.698,133.99666,"February 16, 21",-0.01698
2021-02-12,134.350006,135.529999,133.690002,135.369995,135.369995,6.00293E7,6.00293E7,1.01999,0.759,134.86333,"February 12, 21",0.00759
2021-02-11,135.899994,136.389999,133.770004,135.130005,135.130005,6.41544E7,6.41544E7,-0.76999,-0.567,135.09667,"February 11, 21",-0.00567
2021-02-10,136.479996,136.990005,134.399994,135.389999,135.389999,7.30466E7,7.30466E7,-1.09,-0.799,135.59333,"February 10, 21",-0.00799
2021-02-09,136.619995,137.880005,135.850006,136.009995,136.009995,7.67742E7,7.67742E7,-0.61,-0.446,136.58,"February 09, 21",-0.00446
2021-02-08,136.029999,136.960007,134.919998,136.910004,136.910004,7.12972E7,7.12972E7,0.88,0.647,136.26334,"February 08, 21",0.00647
2021-02-05,137.350006,137.419998,135.860001,136.759995,136.759995,7.5524E7,7.5524E7,-0.59001,-0.43,136.68,"February 05, 21",-0.0043
2021-02-04,136.300003,137.399994,134.589996,137.389999,137.184998,8.41831E7,8.41831E7,1.09,0.8,136.46,"February 04, 21",0.008
2021-02-03,135.759995,135.770004,133.610001,133.940002,133.740158,8.98809E7,8.98809E7,-1.81999,-1.341,134.44,"February 03, 21",-0.01341
2021-02-02,135.729996,136.309998,134.610001,134.990005,134.788589,8.33054E7,8.33054E7,-0.73999,-0.545,135.30333,"February 02, 21",-0.00545
2021-02-01,133.75,135.380005,130.929993,134.139999,133.93985,1.062398E8,1.062398E8,0.39,0.292,133.48333,"February 01, 21",0.00292
2021-01-29,135.830002,136.740005,130.210007,131.960007,131.763107,1.771806E8,1.771806E8,-3.87,-2.849,132.97001,"January 29, 21",-0.02849
2021-01-28,139.520004,141.990005,136.699997,137.089996,136.885452,1.426211E8,1.426211E8,-2.43001,-1.742,138.59333,"January 28, 21",-0.01742
2021-01-27,143.429993,144.300003,140.410004,142.059998,141.848038,1.408438E8,1.408438E8,-1.36999,-0.955,142.25667,"January 27, 21",-0.00955
2021-01-26,143.600006,144.300003,141.369995,143.160004,142.946396,9.83906E7,9.83906E7,-0.44,-0.306,142.94333,"January 26, 21",-0.00306
2021-01-25,143.070007,145.089996,136.539993,142.919998,142.706757,1.576117E8,1.576117E8,-0.15001,-0.105,141.51666,"January 25, 21",-0.00105
2021-01-22,136.279999,139.850006,135.020004,139.070007,138.862503,1.139072E8,1.139072E8,2.79001,2.047,137.98001,"January 22, 21",0.02047
2021-01-21,133.800003,139.669998,133.589996,136.869995,136.665771,1.205295E8,1.205295E8,3.06999,2.294,136.71,"January 21, 21",0.02294
2021-01-20,128.660004,132.490005,128.550003,132.029999,131.832993,1.043195E8,1.043195E8,3.37,2.619,131.02334,"January 20, 21",0.02619
2021-01-19,127.779999,128.710007,126.940002,127.830002,127.639267,9.07573E7,9.07573E7,0.05,0.039,127.82667,"January 19, 21",3.9E-4
2021-01-15,128.779999,130.220001,127.0,127.139999,127.139999,1.115985E8,1.115985E8,-1.64,-1.273,128.12,"January 15, 21",-0.01273
2021-01-14,130.800003,131.0,128.759995,128.910004,128.910004,9.02218E7,9.02218E7,-1.89,-1.445,129.55667,"January 14, 21",-0.01445
2021-01-13,128.759995,131.449997,128.490005,130.889999,130.889999,8.86368E7,8.86368E7,2.13,1.654,130.27667,"January 13, 21",0.01654
